cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
ABS,4.513759925365448E2,3.9750000000000014,31,12,5,5,2,2,0,2.3529411764705882E-1,34,3,0,1.3229109999999997E2,53,0,0,0,0,0,0,5,7,1,0,56,0,0,0,0,1.8754999999999998E2,1.4290521188922861E1,9.667683079628763E-1,1.3781743537947682E1,2.4134948096885815E1,1.0508121615993335E1,2.82E2,3.19E2
AD2,4.1120399510860443E2,1.7532999999999999,24,14,5,4,4,0,0,2.1428571428571427E-1,28,3,0,1.0035100000000001E2,41,0,0,0,0,0,0,5,9,2,0,43,0,0,0,0,2.4331E2,1.37657637343742E1,9.73069249491665E-1,1.314674622753261E1,2.0727040816326532E1,7.787993510005409,2.17E2,2.45E2
ADN,2.672449952363968E2,9.839999999999997E-1,21,9,4,3,0,3,0,9.523809523809523E-2,21,3,0,7.72402E1,32,0,0,0,0,0,0,5,4,0,0,34,0,0,0,0,1.3954000000000002E2,1.1104116307447262E1,9.747895978409621E-1,1.0391295446772823E1,1.3959183673469388E1,5.4131113423517165,1.71E2,1.97E2
ADP,4.272029947042465E2,6.825999999999995E-1,26,15,6,5,3,2,0,2.0689655172413793E-1,29,3,0,1.0185080000000002E2,42,0,0,0,0,0,0,5,10,2,0,44,0,0,0,0,2.6071E2,1.4278675101094464E1,9.562874172045732E-1,1.393136356727771E1,2.1702734839476815E1,8.024691358024691,2.21E2,2.53E2
ADS,3.7935999846458435E2,2.7082999999999995,25,12,5,4,0,2,0,1.6E-1,25,3,0,1.0307990000000004E2,37,0,0,0,0,0,0,5,5,1,2,39,0,0,0,0,2.3301999999999995E2,1.1693026851673322E1,9.826759421835973E-1,1.0899168738872683E1,1.78112E1,6.718836565096953,1.96E2,2.25E2
AF2,3.492149945497513E2,2.0781999999999994,21,11,4,3,2,1,0,1.6E-1,25,3,0,8.703970000000002E1,36,1,0,0,0,0,1,5,6,1,0,38,0,0,0,0,1.8131E2,1.2258377619756352E1,9.765843108429424E-1,1.1552298335793957E1,1.78112E1,6.718836565096953,1.93E2,2.21E2
AMP,3.4722399497032166E2,8.332999999999996E-1,23,12,5,4,2,2,0,1.6E-1,25,3,0,8.954550000000003E1,37,0,0,0,0,0,0,5,7,1,0,39,0,0,0,0,2.0154E2,1.0988924330631557E1,9.707724856316059E-1,1.0319773163412147E1,1.78112E1,6.718836565096953,1.96E2,2.25E2
AP7,3.482319949865341E2,4.665999999999998E-1,23,11,6,5,2,2,0,1.6E-1,25,3,0,9.140290000000005E1,38,0,0,0,0,0,0,5,7,1,0,40,0,0,0,0,2.0278999999999996E2,1.024590907159056E1,9.699409688825856E-1,9.563435714437647,1.78112E1,6.718836565096953,2.01E2,2.31E2
APK,4.5939999318122864E2,5.408899999999999,38,13,6,4,1,2,0,3.333333333333333E-1,33,3,0,1.3625560000000004E2,57,0,0,0,0,0,0,7,7,1,0,59,0,0,0,0,2.3238999999999996E2,1.0906487603109985E1,9.674325640411169E-1,1.0273641190608556E1,2.5619834710743802E1,1.1421457673155274E1,3.0E2,3.32E2
AS,3.472929971218109E2,2.670999999999999,24,11,4,3,0,1,0,1.6666666666666666E-1,24,3,0,9.495020000000001E1,36,0,0,0,0,0,0,5,5,1,1,38,0,0,0,0,1.9067000000000002E2,1.212082585873977E1,9.743582872966488E-1,1.1439803732124997E1,1.684375E1,6.481481481481482,1.92E2,2.17E2
ATD,3.2220999467372894E2,9.213999999999994E-1,21,9,4,4,2,1,0,1.8181818181818182E-1,22,2,0,8.57583E1,36,0,0,0,0,0,0,2,8,1,0,37,0,0,0,0,1.6655E2,1.0313947555180313E1,9.70282896976546E-1,9.629835470994214,1.7355371900826448E1,6.629935720844812,1.89E2,2.08E2
ATM,3.4722399497032166E2,2.5070999999999994,20,9,3,4,2,0,0,2.0833333333333334E-1,24,2,0,9.12905E1,37,0,0,0,0,0,0,5,7,1,0,38,0,0,0,0,1.5868E2,1.121632456715017E1,9.683902768012012E-1,1.058244236425016E1,1.932638888888889E1,7.92,1.94E2,2.14E2
ATP,5.071819944381714E2,5.318999999999995E-1,29,18,7,6,4,2,0,2.4242424242424243E-1,33,3,0,1.1415610000000004E2,47,0,0,0,0,0,0,5,13,3,0,49,0,0,0,0,3.1988E2,1.482496917703802E1,9.734647306356484E-1,1.422907683297132E1,2.5619834710743802E1,9.330621301775148,2.46E2,2.81E2
AVC,4.291559954881668E2,2.1627999999999994,25,14,4,3,2,0,0,1.3793103448275862E-1,29,4,0,8.822220000000003E1,39,0,0,0,0,0,0,5,9,1,0,42,0,0,0,0,2.1684E2,1.204917699041302E1,7.711892163722092E-1,1.4624151290774233E1,1.9322235434007133E1,6.805293005671078,2.17E2,2.53E2
AWC,4.212039932012558E2,1.3443999999999998,23,8,4,3,1,1,0,1.9230769230769232E-1,26,2,0,9.670470000000005E1,39,0,0,0,0,0,0,2,7,1,0,41,0,0,0,0,1.5431999999999996E2,1.3273487161907571E1,9.999547751993207E-1,1.2274087479868047E1,1.8781065088757398E1,8.131482834185537,2.09E2,2.36E2
B4P,8.36390989780426E2,2.9462,51,29,10,8,4,4,0,2.413793103448276E-1,58,6,0,1.97559E2,81,0,0,0,0,0,0,10,19,4,0,86,0,0,0,0,4.8453000000000003E2,1.6040438080035155E1,9.657272998924443E-1,1.5609697252859707E1,4.260166468489893E1,1.6332810047095762E1,4.38E2,5.06E2
B86,2.4520999479293823E2,1.4878,18,7,3,2,0,2,0,1.111111111111111E-1,18,2,0,6.78154E1,29,1,0,0,0,0,1,3,4,0,0,30,0,0,0,0,1.1060000000000001E2,1.0499925780841831E1,9.763078245779723E-1,9.754728699814144,1.3432098765432098E1,5.325443786982248,1.52E2,1.71E2
B8K,4.0727599358558655E2,1.2613999999999996,29,13,6,5,2,2,0,1.724137931034483E-1,29,3,0,1.0205230000000003E2,45,0,0,0,0,0,0,5,9,1,0,47,0,0,0,0,2.2723999999999998E2,1.0227791113632975E1,9.710629552098573E-1,9.532572639868274,2.1702734839476815E1,8.024691358024691,2.4E2,2.7E2
B8Q,3.3924099469184875E2,2.054099999999999,26,10,5,4,2,2,0,1.7391304347826086E-1,23,2,0,8.705860000000003E1,40,0,0,0,0,0,0,3,8,1,0,41,0,0,0,0,1.8310999999999999E2,8.855457432892283,9.672176371234463E-1,8.155599622054925,1.8340264650283554E1,6.857142857142857,2.08E2,2.31E2
B8T,3.372249946594238E2,7.746999999999998E-1,24,11,5,5,2,2,0,2.1739130434782608E-1,23,2,0,8.982910000000003E1,38,0,0,0,0,0,0,3,8,1,0,39,0,0,0,0,1.7884E2,1.0470816908468533E1,9.720086026238515E-1,9.772350039087604,1.8340264650283554E1,7.26643598615917,1.96E2,2.16E2
B8W,3.772499942779541E2,1.5061999999999993,26,13,5,4,2,2,0,1.8518518518518517E-1,27,3,0,9.815150000000003E1,41,0,0,0,0,0,0,5,8,1,0,43,0,0,0,0,2.1077E2,1.1143192032669475E1,9.755626876815453E-1,1.0422322904898724E1,1.9753086419753085E1,7.552647233789411,2.16E2,2.39E2
B9B,4.053039937019348E2,2.9198000000000004,30,13,5,4,2,2,0,2.413793103448276E-1,29,3,0,1.1199350000000004E2,47,0,0,0,0,0,0,5,8,1,0,49,0,0,0,0,2.1077E2,1.0702908859917025E1,9.628089786333622E-1,1.011633677856747E1,2.1702734839476815E1,8.788534342888047,2.48E2,2.71E2
B9H,3.813219938278198E2,5.176800000000002,32,10,4,3,2,1,0,2.692307692307692E-1,26,2,0,1.074068E2,49,0,0,0,0,0,0,3,8,1,0,50,0,0,0,0,1.7210999999999999E2,1.0388707520340102E1,9.764406851940624E-1,9.639363637613485,2.1301775147928993E1,8.79224376731302,2.56E2,2.71E2
BGM,4.261199942827225E2,1.9279999999999997,21,11,5,4,2,1,0,1.5384615384615385E-1,26,3,0,9.742010000000002E1,37,1,0,1,0,0,0,5,7,1,0,39,0,0,0,0,2.0127999999999997E2,1.1461258469110687E1,9.764142085202087E-1,1.0738111110120613E1,1.8781065088757398E1,6.9575,1.99E2,2.29E2
BOE,4.723869911432266E2,4.8155,33,11,4,4,2,1,0,2.9411764705882354E-1,34,2,0,1.3740629999999993E2,57,0,0,0,0,0,0,2,10,1,0,59,0,0,0,0,1.8501000000000002E2,1.2476436901652669E1,9.813520773264057E-1,1.1713517594667406E1,2.6602076124567475E1,1.2109375E1,2.99E2,3.22E2
BRU,3.870789942741394E2,8.762000000000004E-1,18,9,4,4,2,1,0,1.8181818181818182E-1,22,2,0,8.53213E1,33,1,0,1,0,0,0,2,8,1,0,34,0,0,0,0,1.6655E2,1.079191529560125E1,9.597745151056838E-1,1.024421947629326E1,1.7355371900826448E1,6.629935720844812,1.74E2,1.99E2
C2L,3.95304993391037E2,3.9892999999999983,31,12,4,3,2,1,0,2.962962962962963E-1,27,2,0,1.1123270000000001E2,48,0,0,0,0,0,0,3,9,1,0,49,0,0,0,0,1.9106000000000003E2,1.1403603484429041E1,9.669170625023722E-1,1.0793776246865086E1,2.2290809327846365E1,9.467455621301776,2.48E2,2.56E2
C2S,3.393349988460541E2,3.0255,23,10,4,3,0,1,0,1.9047619047619047E-1,21,2,0,9.489139999999999E1,34,0,0,0,0,0,0,3,5,1,2,35,0,0,0,0,2.0052999999999997E2,1.2764886654903076E1,9.689344155440872E-1,1.2174149302700936E1,1.63718820861678E1,6.40582726326743,1.76E2,1.96E2
C31,3.802939940690994E2,3.6651000000000007,29,11,5,3,2,1,0,3.076923076923077E-1,26,2,0,1.0790119999999997E2,46,0,0,0,0,0,0,4,8,1,0,47,0,0,0,0,2.0947E2,1.1731928924283606E1,9.590232400377426E-1,1.1233206073110274E1,2.1301775147928993E1,9.273922571219869,2.37E2,2.56E2
C34,3.2122599506378174E2,1.8453999999999993,23,10,4,4,2,1,0,2.2727272727272727E-1,22,2,0,8.832929999999999E1,37,0,0,0,0,0,0,3,7,1,0,38,0,0,0,0,1.5861E2,1.2135660110286087E1,9.757117955914745E-1,1.1437750742707252E1,1.7355371900826448E1,7.05078125,1.92E2,2.08E2
C36,3.5723099386692047E2,1.4346999999999994,26,11,5,4,2,2,1,2.0833333333333334E-1,24,2,0,8.550690000000002E1,40,1,0,0,0,0,1,3,8,1,0,41,0,0,0,0,1.9061E2,1.1418670164238979E1,9.751656571495055E-1,1.0709467084409791E1,1.932638888888889E1,7.086924762600439,2.11E2,2.37E2
C37,3.251889945268631E2,1.3371000000000004,20,10,4,3,2,1,0,1.8181818181818182E-1,22,2,0,8.012070000000003E1,34,1,0,0,0,0,1,3,7,1,0,35,0,0,0,0,1.7260000000000002E2,1.2176788133458448E1,9.667889329040172E-1,1.1595084324023142E1,1.7355371900826448E1,6.629935720844812,1.77E2,1.99E2
C38,4.330949946641922E2,1.8026,20,10,4,3,2,1,0,1.8181818181818182E-1,22,2,0,9.28797E1,34,1,0,0,0,1,0,3,7,1,0,35,0,0,0,0,1.7260000000000002E2,1.242997304273469E1,9.750907680707823E-1,1.1747503565567953E1,1.7355371900826448E1,6.629935720844812,1.77E2,1.99E2
C42,3.062149957418442E2,2.6837999999999997,21,9,4,2,2,0,0,1.9047619047619047E-1,21,2,0,8.45534E1,35,0,0,0,0,0,0,4,6,1,0,36,0,0,0,0,1.8001000000000002E2,1.2388464519643302E1,9.805002509522915E-1,1.1634840743397312E1,1.63718820861678E1,6.40582726326743,1.81E2,2.0E2
C43,3.8127799367904663E2,3.304599999999999,29,12,4,3,2,1,0,3.076923076923077E-1,26,2,0,1.0415269999999998E2,45,0,0,0,0,0,0,3,9,1,0,46,0,0,0,0,1.9105999999999997E2,1.1599068659582574E1,9.565718414386123E-1,1.1125663914733728E1,2.1301775147928993E1,9.273922571219869,2.32E2,2.44E2
C45,3.372249946594238E2,1.7769999999999997,24,11,4,4,2,1,0,2.608695652173913E-1,23,2,0,8.941429999999998E1,38,0,0,0,0,0,0,3,8,1,0,39,0,0,0,0,1.6784E2,1.2877204587126151E1,9.727821351687714E-1,1.2237501102846672E1,1.8340264650283554E1,7.7134986225895315,1.96E2,2.1E2
C46,3.4923599433898926E2,2.0346999999999995,24,11,4,4,2,1,0,1.6E-1,25,3,0,8.906649999999999E1,39,0,0,0,0,0,0,3,8,1,0,41,0,0,0,0,1.6784E2,1.3708521925352864E1,9.705902444065043E-1,1.3123902444265077E1,1.78112E1,7.086924762600439,2.12E2,2.38E2
C49,3.712829955816269E2,2.670799999999999,24,11,5,5,2,1,1,1.6666666666666666E-1,24,2,0,9.027309999999999E1,38,1,0,0,0,0,1,3,7,1,1,39,0,0,0,0,1.9997E2,1.1583556807053949E1,9.731813325308963E-1,1.090277332686732E1,1.932638888888889E1,6.718836565096953,2.01E2,2.28E2
C4S,3.2326699709892273E2,2.0376,21,10,4,3,2,1,0,1.9047619047619047E-1,21,2,0,8.772569999999999E1,34,0,0,0,0,0,0,3,6,1,1,35,0,0,0,0,1.8867000000000002E2,1.1730047168219745E1,9.70778448859532E-1,1.1083135119037895E1,1.63718820861678E1,6.40582726326743,1.76E2,1.96E2
C5L,3.95304993391037E2,3.9893,31,12,4,3,2,1,0,2.962962962962963E-1,27,2,0,1.1123269999999998E2,48,0,0,0,0,0,0,3,9,1,0,49,0,0,0,0,1.9105999999999997E2,1.1003108778659543E1,9.683557150999539E-1,1.0362672422007444E1,2.2290809327846365E1,9.467455621301776,2.48E2,2.56E2
C5P,3.231979949474335E2,2.5029999999999974E-1,22,11,5,4,2,2,0,1.8181818181818182E-1,22,2,0,8.27195E1,35,0,0,0,0,0,0,3,8,1,0,36,0,0,0,0,1.9283E2,1.0754932803174666E1,9.75220446312534E-1,1.0028206846811718E1,1.7355371900826448E1,6.629935720844812,1.8E2,2.04E2
C7R,3.2326699709892273E2,2.2584999999999997,23,10,4,3,1,1,0,1.9047619047619047E-1,21,2,0,8.798689999999999E1,34,0,0,0,0,0,0,3,6,1,1,35,0,0,0,0,1.8551000000000002E2,1.0191207363978798E1,9.766434484627843E-1,9.434931376460405,1.63718820861678E1,6.40582726326743,1.76E2,1.96E2
C7S,3.2326699709892273E2,2.2584999999999997,23,10,4,3,1,1,0,1.9047619047619047E-1,21,2,0,8.798690000000002E1,34,0,0,0,0,0,0,3,6,1,1,35,0,0,0,0,1.8551E2,1.1789816791185432E1,9.77164325833943E-1,1.106533689318184E1,1.63718820861678E1,6.40582726326743,1.76E2,1.96E2
CBR,3.860949946641922E2,1.9604999999999997,20,10,4,3,2,1,0,1.8181818181818182E-1,22,2,0,8.786269999999999E1,34,1,0,1,0,0,0,3,7,1,0,35,0,0,0,0,1.7260000000000002E2,1.2358341554932176E1,9.714663846117738E-1,1.1721327006977116E1,1.7355371900826448E1,6.629935720844812,1.77E2,1.99E2
CBV,4.020939942598343E2,8.897999999999998E-1,21,11,5,4,2,2,0,1.7391304347826086E-1,23,2,0,8.936249999999998E1,35,1,0,1,0,0,0,3,8,1,0,36,0,0,0,0,1.9283000000000004E2,1.2296818103982515E1,9.737395786709532E-1,1.1628446427910747E1,1.8340264650283554E1,6.857142857142857,1.81E2,2.07E2
CCC,3.851619950532913E2,1.6805999999999992,22,13,4,3,3,0,0,1.5384615384615385E-1,26,3,0,8.888220000000003E1,37,0,0,0,0,0,0,3,10,2,0,39,0,0,0,0,2.2077E2,1.1771228225069896E1,9.683635182040037E-1,1.1155794806171198E1,1.8781065088757398E1,6.622248661511005,2.01E2,2.32E2
CFZ,3.251889945268631E2,1.4951999999999996,20,10,4,3,2,1,0,1.8181818181818182E-1,22,2,0,8.021370000000002E1,34,1,0,0,0,0,1,3,7,1,0,35,0,0,0,0,1.726E2,1.2510733817841839E1,9.742618493355435E-1,1.1841243682459993E1,1.7355371900826448E1,6.629935720844812,1.77E2,2.0E2
CG1,3.772499942779541E2,1.926899999999999,26,12,5,4,1,2,0,1.8518518518518517E-1,27,3,0,9.878310000000002E1,41,0,0,0,0,0,0,5,8,1,0,43,0,0,0,0,2.0767999999999998E2,1.2602302389169562E1,9.673494429065725E-1,1.2027662838470983E1,1.9753086419753085E1,7.552647233789411,2.18E2,2.42E2
CH,3.2420599496364594E2,-1.1640000000000039E-1,22,9,6,5,2,2,0,1.8181818181818182E-1,22,2,0,8.45769E1,36,0,0,0,0,0,0,3,8,1,0,37,0,0,0,0,1.9468E2,1.2169793598386942E1,9.605669750780597E-1,1.1669385804563992E1,1.7355371900826448E1,6.629935720844812,1.85E2,2.1E2
CM0,3.9720899271965027E2,-5.313000000000001E-1,23,13,5,6,3,2,0,2.5925925925925924E-1,27,2,0,9.236359999999999E1,40,0,0,0,0,0,0,2,12,1,0,41,0,0,0,0,2.3614E2,1.1162940254677217E1,9.738705301286517E-1,1.0462447942851863E1,2.2290809327846365E1,9.0,2.11E2,2.39E2
CMR,3.0522699546813965E2,3.0985,24,9,3,2,1,1,0,1.9047619047619047E-1,21,2,0,8.664089999999999E1,36,0,0,0,0,0,0,3,6,1,0,37,0,0,0,0,1.4671E2,1.194515673081821E1,9.738477211600696E-1,1.126593898745162E1,1.63718820861678E1,6.40582726326743,1.88E2,2.04E2
CSL,4.001859941482544E2,1.6469999999999998,24,10,4,3,2,1,0,2.1739130434782608E-1,23,2,0,8.775989999999999E1,38,0,0,0,0,0,0,3,7,1,0,39,0,0,0,0,1.7260000000000002E2,1.0769268199675297E1,6.62862472186802E-1,1.5246610196753448E1,1.8340264650283554E1,7.26643598615917,1.96E2,2.12E2
CTG,3.5622399389743805E2,-7.250000000000012E-2,27,12,6,6,2,3,0,1.6666666666666666E-1,24,2,0,8.424829999999999E1,40,0,0,0,0,0,0,2,10,1,0,41,0,0,0,0,2.0156E2,1.2101062481391843E1,9.68154450271446E-1,1.149910329699875E1,1.932638888888889E1,6.718836565096953,2.11E2,2.41E2
CTP,4.831559944152832E2,-5.1100000000000256E-2,28,17,7,6,4,2,0,2.6666666666666666E-1,30,2,0,1.0733010000000002E2,45,0,0,0,0,0,0,3,14,3,0,46,0,0,0,0,3.1117E2,1.0467770916850617E1,9.67641800890237E-1,9.817815959604264,2.526222222222222E1,9.240380262562246,2.3E2,2.6E2
CX2,3.663359965085983E2,3.7817999999999996,29,11,5,4,1,1,0,2.916666666666667E-1,24,2,0,1.0559329999999999E2,42,0,0,0,0,0,0,4,6,1,1,43,0,0,0,0,1.9753999999999996E2,1.2776470976634457E1,9.701354313923319E-1,1.216978079884965E1,1.932638888888889E1,8.392733564013842,2.17E2,2.36E2
D00,3.352529947757721E2,2.5521999999999996,25,10,4,4,2,1,0,2.608695652173913E-1,23,2,0,9.525030000000001E1,40,0,0,0,0,0,0,3,7,1,0,41,0,0,0,0,1.5860999999999999E2,1.1841225842767713E1,9.74739140116853E-1,1.1148097224605314E1,1.8340264650283554E1,7.7134986225895315,2.08E2,2.24E2
D5M,3.3122499537467957E2,1.9039999999999995,22,11,4,3,2,1,0,1.6666666666666666E-1,24,3,0,8.804570000000001E1,36,0,0,0,0,0,0,5,6,1,0,38,0,0,0,0,1.8131E2,1.2844613798515999E1,9.740027062011064E-1,1.2187451858951938E1,1.684375E1,6.481481481481482,1.92E2,2.17E2
DCM,3.071989953517914E2,1.3210000000000002,21,10,4,3,2,1,0,1.9047619047619047E-1,21,2,0,8.12197E1,34,0,0,0,0,0,0,3,7,1,0,35,0,0,0,0,1.7260000000000002E2,1.2464827874990483E1,9.715928268039915E-1,1.1829271204062861E1,1.63718820861678E1,6.40582726326743,1.76E2,1.96E2
DCZ,2.2721999561786652E2,1.4717000000000002,19,7,3,2,0,2,0,1.1764705882352941E-1,17,2,0,6.89144E1,29,0,0,0,0,0,0,3,4,0,0,30,0,0,0,0,1.1060000000000001E2,1.0578041043454032E1,9.765814529958182E-1,9.83170380822226,1.2456747404844291E1,5.104166666666667,1.51E2,1.68E2
DDG,3.3122499537467957E2,2.3591999999999995,21,10,4,3,2,0,0,1.6666666666666666E-1,24,3,0,8.92773E1,36,0,0,0,0,0,0,5,6,1,0,38,0,0,0,0,1.8105E2,1.1790437751867303E1,9.744478237501925E-1,1.1099609096043173E1,1.684375E1,6.481481481481482,1.94E2,2.18E2
DDN,3.101989949941635E2,1.2376,23,10,5,5,2,2,0,1.9047619047619047E-1,21,2,0,7.511550000000001E1,35,0,0,0,0,0,0,2,8,1,0,36,0,0,0,0,1.6426000000000002E2,1.1558358281413712E1,9.68831044897773E-1,1.09302104761035E1,1.63718820861678E1,6.40582726326743,1.83E2,2.07E2
DG8,5.624789899587631E2,7.200699999999999,32,11,6,5,2,1,0,1.3043478260869565E-1,46,3,0,1.7344350000000006E2,63,0,0,0,0,0,0,6,7,1,0,69,0,0,0,0,2.1331E2,1.3334100974282073E1,9.597235825560152E-1,1.2893688991959115E1,2.8752362948960304E1,1.1171592937909145E1,3.51E2,4.15E2
DNR,3.0820699536800385E2,9.543000000000005E-1,21,9,5,4,2,1,0,1.9047619047619047E-1,21,2,0,8.30771E1,35,0,0,0,0,0,0,3,7,1,0,36,0,0,0,0,1.7385000000000002E2,1.2070375473647346E1,9.619992538654824E-1,1.1547177583710646E1,1.63718820861678E1,6.40582726326743,1.81E2,2.02E2
DOC,2.911999957561493E2,2.3916999999999993,20,9,3,2,2,0,0,2.0E-1,20,2,0,7.971990000000001E1,33,0,0,0,0,0,0,3,6,1,0,34,0,0,0,0,1.5237E2,1.1984324792929787E1,9.736615676651662E-1,1.130851169536055E1,1.539E1,6.185493460166469,1.72E2,1.88E2
DUR,2.2820399522781372E2,3.8739999999999997E-1,17,6,3,3,0,2,0,1.1764705882352941E-1,17,2,0,6.637299999999999E1,28,0,0,0,0,0,0,2,5,0,0,29,0,0,0,0,1.0455000000000001E2,9.850021099211885,9.777197370552628E-1,9.07448323471365,1.2456747404844291E1,5.104166666666667,1.48E2,1.68E2
DUZ,4.413329920768738E2,2.7762,28,11,5,5,2,1,0,2.5E-1,32,2,0,1.2346619999999999E2,50,0,0,0,0,0,0,3,9,1,0,52,0,0,0,0,1.9564999999999998E2,1.3046887359247231E1,9.733765133228071E-1,1.2403741697762138E1,2.4638671875E1,1.0744801512287335E1,2.62E2,2.95E2
E,6.335539879798889E2,6.1225000000000005,39,14,7,7,2,4,0,1.1538461538461539E-1,52,3,0,1.9299570000000008E2,73,0,0,0,0,0,0,5,9,1,0,80,0,0,0,0,2.2800999999999996E2,1.8876410187150675E1,9.6359953048307E-1,1.8589476322894832E1,3.2218934911242606E1,1.239993903368389E1,4.12E2,4.96E2
E3C,3.532679944038391E2,2.7608999999999995,28,10,5,4,2,2,0,2.0833333333333334E-1,24,2,0,9.397960000000003E1,43,0,0,0,0,0,0,3,8,1,0,44,0,0,0,0,1.8310999999999999E2,9.764418899367145,9.68602350946759E-1,9.080936609149182,1.932638888888889E1,7.486111111111111,2.24E2,2.47E2
E6G,3.9127699398994446E2,2.212999999999999,28,13,5,4,2,2,0,2.1428571428571427E-1,28,3,0,1.0507250000000003E2,44,0,0,0,0,0,0,5,8,1,0,46,0,0,0,0,2.1077E2,1.1652574339727177E1,9.747768794562888E-1,1.0954093890928918E1,2.0727040816326532E1,8.16326530612245,2.32E2,2.55E2
E7G,3.932929940223694E2,2.3990999999999993,30,12,6,5,2,2,0,1.7857142857142858E-1,28,3,0,1.0396630000000005E2,46,0,0,0,0,0,0,5,8,1,0,48,0,0,0,0,2.1017E2,1.0196687134793356E1,9.709823457383909E-1,9.50141352162197,2.0727040816326532E1,7.787993510005409,2.46E2,2.74E2
EDC,3.3122099471092224E2,1.2279,20,10,3,3,2,1,0,1.6666666666666666E-1,24,3,0,8.79589E1,36,0,0,0,0,0,0,3,7,1,0,38,0,0,0,0,1.5098999999999998E2,1.2482071989042941E1,9.730669215859999E-1,1.1827557603847469E1,1.684375E1,6.481481481481482,1.94E2,2.23E2
F2T,3.4224099588394165E2,1.3483999999999998,20,9,4,4,1,1,0,1.8181818181818182E-1,22,2,0,8.44395E1,33,1,0,0,0,0,1,2,7,1,1,34,0,0,0,0,1.7945999999999998E2,9.741186798117996,9.830862331281229E-1,8.908781620430293,1.7355371900826448E1,6.629935720844812,1.74E2,2.0E2
F3N,4.934169921875E2,5.199,34,13,6,4,2,1,0,2.4324324324324326E-1,37,3,0,1.442076E2,58,0,0,0,0,0,0,7,7,1,0,61,0,0,0,0,2.3805E2,1.4174995398087152E1,9.737088947590545E-1,1.3557734323249427E1,2.704601899196494E1,1.1588477366255145E1,3.06E2,3.47E2
F74,3.816689940690994E2,1.8188999999999989,21,11,5,4,2,1,0,1.5384615384615385E-1,26,3,0,9.473010000000001E1,37,1,0,0,1,0,0,5,7,1,0,39,0,0,0,0,2.0127999999999997E2,9.356266466787272,9.712708903294585E-1,8.633014393763611,1.8781065088757398E1,6.9575,1.99E2,2.29E2
FHU,3.601869933605194E2,-4.2270000000000074E-1,24,12,7,7,2,3,0,1.6666666666666666E-1,24,2,0,7.613270000000003E1,37,1,0,0,0,0,1,2,10,1,0,38,0,0,0,0,2.1035E2,9.732901185333601,9.785325054809082E-1,8.946426031652656,1.932638888888889E1,6.718836565096953,1.96E2,2.33E2
FMU,3.582149934768677E2,1.1723999999999992,25,11,5,5,2,2,0,1.6666666666666666E-1,24,2,0,8.174249999999999E1,39,1,0,0,0,0,1,2,9,1,0,40,0,0,0,0,1.8133E2,1.169155128183311E1,9.684161936399931E-1,1.1072858094088648E1,1.932638888888889E1,6.718836565096953,2.08E2,2.37E2
G2L,4.213029932975769E2,3.272099999999999,30,13,5,4,2,1,0,2.6666666666666666E-1,30,3,0,1.137101E2,48,0,0,0,0,0,0,5,9,1,0,50,0,0,0,0,2.1974E2,1.1724849750310803E1,9.624849110318681E-1,1.1181853051328085E1,2.268E1,9.427685950413224,2.54E2,2.74E2
G2M,5.332639939785004E2,2.755999999999999,36,16,7,6,4,1,0,2.2857142857142856E-1,35,3,0,1.3510370000000003E2,55,0,0,0,0,0,0,5,12,3,0,57,0,0,0,0,3.019E2,1.5358597508818358E1,9.856860226461474E-1,1.458163264564416E1,2.758530612244898E1,9.465066174207449,2.92E2,3.3E2
G2S,3.7935999846458435E2,2.9930000000000003,24,11,5,4,0,1,0,1.6E-1,25,3,0,1.0444879999999998E2,37,0,0,0,0,0,0,5,5,1,2,39,0,0,0,0,2.2920999999999998E2,1.122677678246454E1,9.786112047591514E-1,1.04721522989588E1,1.78112E1,6.718836565096953,1.98E2,2.26E2
G31,3.452519950866699E2,3.065999999999999,23,10,4,3,2,0,0,1.6E-1,25,3,0,9.619829999999999E1,39,0,0,0,0,0,0,5,6,1,0,41,0,0,0,0,1.8105E2,1.042498445027251E1,9.669306894683998E-1,9.781521947559622,1.78112E1,6.718836565096953,2.1E2,2.34E2
G36,3.7527799439430237E2,3.2836999999999996,27,12,4,3,2,1,0,2.222222222222222E-1,27,3,0,1.0357270000000001E2,43,0,0,0,0,0,0,5,7,1,0,45,0,0,0,0,1.9054E2,1.4384626380325248E1,9.675973004045191E-1,1.3866335793115102E1,1.9753086419753085E1,7.935,2.28E2,2.47E2
