cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
6D6,4.2345399272441864E2,6.436800000000002,35,10,6,4,1,2,1,3.125E-1,32,3,0,1.357236E2,57,0,0,0,0,0,0,8,5,0,0,59,0,0,0,0,2.1916000000000003E2,1.2369270392796567E1,9.733392470287919E-1,1.1708077302497468E1,2.4638671875E1,1.1227654320987654E1,3.04E2,3.34E2
6F7,3.2220999467372894E2,9.213999999999998E-1,21,9,4,4,2,1,0,1.8181818181818182E-1,22,2,0,8.57583E1,36,0,0,0,0,0,0,2,8,1,0,37,0,0,0,0,1.6654999999999998E2,9.32464930312207,9.740969157535936E-1,8.572609411157218,1.7355371900826448E1,6.629935720844812,1.89E2,2.08E2
6FC,4.082709939479828E2,2.0728,25,11,5,4,0,1,0,2.3076923076923078E-1,26,2,0,9.567900000000002E1,39,3,0,0,0,0,3,3,7,1,1,40,0,0,0,0,1.9917999999999998E2,9.97196539752759,9.727822109540643E-1,9.25097425224039,2.1301775147928993E1,7.935,2.02E2,2.28E2
6FM,3.7323699390888214E2,1.5036,21,11,4,3,2,1,0,1.4814814814814814E-1,27,3,0,9.476070000000001E1,38,1,0,0,0,0,1,5,6,1,0,40,0,0,0,0,1.8131E2,1.109660651418562E1,9.723428105111946E-1,1.0412236912979019E1,1.9753086419753085E1,7.197278911564626,2.01E2,2.32E2
6FU,4.0925499355793E2,9.884999999999994E-1,23,10,5,5,0,1,0,2.3076923076923078E-1,26,2,0,9.313760000000002E1,38,3,0,0,0,0,3,2,8,1,1,39,0,0,0,0,1.9312999999999997E2,1.0946159040083604E1,9.723144688789075E-1,1.0257838271916988E1,2.1301775147928993E1,7.935,1.99E2,2.28E2
6HB,4.0131599378585815E2,2.8666999999999994,29,12,5,5,2,2,0,2.7586206896551724E-1,29,3,0,1.1483010000000002E2,47,0,0,0,0,0,0,5,7,1,0,49,0,0,0,0,1.8754999999999998E2,1.5192017735613218E1,9.695269710692163E-1,1.4669515329582959E1,2.1702734839476815E1,9.212018140589569,2.46E2,2.74E2
6IA,4.1735899353027344E2,4.184900000000001,33,12,5,5,2,2,0,2.6666666666666666E-1,30,3,0,1.243391E2,52,0,0,0,0,0,0,5,7,1,0,54,0,0,0,0,1.8754999999999998E2,1.6748974399777E1,9.718685594168118E-1,1.6233785615852767E1,2.268E1,9.427685950413224,2.76E2,3.01E2
6MA,3.452519950866699E2,2.4283999999999994,24,11,4,4,2,1,0,2.0E-1,25,3,0,9.51553E1,39,0,0,0,0,0,0,5,6,1,0,41,0,0,0,0,1.6732E2,1.3096272708156999E1,9.735168327687543E-1,1.245253853588769E1,1.78112E1,7.086924762600439,2.08E2,2.29E2
6MD,2.8127199494838715E2,1.5083999999999995,23,9,4,4,0,3,0,1.3636363636363635E-1,22,3,0,8.434979999999999E1,35,0,0,0,0,0,0,5,4,0,0,37,0,0,0,0,1.2555000000000001E2,1.167798327441756E1,9.749954081322577E-1,1.0977475152204455E1,1.4917355371900827E1,6.01171875,1.87E2,2.09E2
6MZ,3.61250994682312E2,1.357699999999999,25,12,5,5,2,2,0,1.9230769230769232E-1,26,3,0,9.665510000000003E1,40,0,0,0,0,0,0,5,7,1,0,42,0,0,0,0,1.8754999999999998E2,1.3571534050821526E1,9.719191240831557E-1,1.2963645445935652E1,1.8781065088757398E1,7.3188691650230115,2.12E2,2.37E2
6NW,3.7731899642944336E2,3.4798999999999998,27,12,4,3,1,1,0,1.9230769230769232E-1,26,3,0,1.028189E2,40,0,0,0,0,0,0,5,6,1,1,42,0,0,0,0,2.0345000000000002E2,1.446818655606168E1,9.698501591623081E-1,1.3917960696689821E1,1.8781065088757398E1,7.3188691650230115,2.12E2,2.33E2
